Video,Category,Shoulder Flexion Change,Wrist Flexion Change,Wrist Pronation Change,Elbow Flexion Change,Shoulder Abduction Change,Wrist Palmar Flexion Change,Torso Rotation Change,Trunk Tilt Backward Change
18.mp4,Novice,22.224506287898443,38.5839147173964,6.083247771704215,32.76858334433308,12.752450621154402,33.11746617377618,20.846533868725203,17.76523041888329
19.mp4,Novice,16.425937523874403,39.600147269940834,12.838623013481332,20.86533889975253,8.778559263797696,24.512516540289084,14.529055630593053,13.366432325727395
2.mp4,Skilled,31.952808128462372,0.42226513500725105,49.52321876086842,44.87533138030098,54.108735782960736,59.69873882674425,9.95785844040834,31.681052431572745
20.mp4,Novice,22.15174618529817,52.93282820739216,17.31843982083877,25.00528159372159,18.357597205841117,37.784881597459076,24.800677475877713,20.89985057013208
21.mp4,Novice,9.17074694182368,54.03959176972538,23.288572792199275,7.243184043265671,3.3786453338522975,30.1396017414379,33.63235284473093,38.56539710035673
22.mp4,Novice,5.108764451887492,48.498299346437705,3.2808012209852677,0.8970697462883663,30.197316277576583,51.19366981580127,24.583762370906953,28.436128650187946
23.mp4,Novice,15.015353050797934,25.26388773898168,5.230405790043818,19.75574756657224,19.535370791581713,20.9469031382732,22.316562930219632,30.45291499040129
24.mp4,Novice,11.979657349727121,9.077254606205713,42.25290097842363,17.825195227851054,22.233311586009364,33.842223850535675,22.32938074788145,30.24858420468221
25.mp4,Novice,19.867740990725153,5.569768965068306,25.35819961164392,32.65755200811401,33.83262815832327,24.443901706839966,14.560071695276022,27.21692834227634
26.mp4,Novice,18.83282928633074,8.199611233234833,6.019457439534527,28.607507120036587,7.742092122470773,11.644480587944969,5.320179092572371,12.744064056790691
27.mp4,Novice,7.214499760317235,9.897656127429372,2.0502411171506196,17.90081282572052,48.12009684076936,11.954887690519257,6.215527338836573,9.231016009785733
28.mp4,Skilled,23.966363145482298,75.64461031769063,39.59442625517327,30.620028875966412,27.23348412750362,3.947574342542964,1.6185496655841263,3.1876351884864533
29.mp4,Skilled,6.0334619855339895,39.847233911396074,3.7915086599843875,1.9290376692956386,51.75166637488437,8.62442163294611,17.498011691222267,29.219351987587377
3.mp4,Skilled,70.03897277043907,41.38028617733531,2.7450294130037562,100.0539293702863,69.3453627528003,19.190016955543825,2.659730237248457,16.880352458972013
30.mp4,Skilled,13.850555490570503,66.56547551362152,0.3801477482159328,25.40429985554303,61.18933007870723,10.407662391681725,18.193085653291533,44.44421525304672
31.mp4,Skilled,27.342759733642712,91.29622149032775,31.762762874886754,50.035430236095564,7.904294250801314,18.647371516000945,26.821264971035294,42.89488814946971
32.mp4,Skilled,5.5814130530095465,43.21321415540265,18.249104819249602,21.15035360824257,23.244540936469065,22.777495897642765,19.27762450888672,35.22054453074769
33.mp4,Skilled,10.070320918436714,14.093129843830724,5.147353412773505,2.5566385592767062,15.034457490243529,15.272489557334055,3.9717178456430773,12.551546561953351
34.mp4,Skilled,22.31257817316275,83.85409789176788,37.04336137513638,16.734877256558548,8.024533201529877,4.2609868998678735,43.861508205468056,65.96756385970566
35.mp4,Skilled,24.368749173650237,85.25531586332312,12.200006577500915,50.83127799628973,43.460180345133644,0.9540967939757365,10.323716385494315,9.722426900618636
